veh_op_day_id,vmt,time_on_shift_s,time_off_shift_s
1,42.12643487415799,41243,45156
2,106.53291984860243,35507,50892
3,47.2791107408941,30587,55812
4,75.68979752992621,47770,38629
5,89.86268750461373,46699,39700
6,41.10549049746961,29706,56693
7,57.378760085985235,32573,53826
8,38.10771793165799,31228,55171
9,51.40093913062934,39528,46871
10,43.535175165915796,30665,55734
11,44.1053208153342,33748,52651
12,87.99324268835069,32463,53936
13,78.58228762569445,36725,49674
14,91.00053269452258,33042,53357
15,82.07811170215712,40884,45515
16,87.82617371826389,36670,49729
17,120.5759260239844,34879,51520
18,74.53546335436633,35985,50414
19,94.52836654702256,36535,49864
20,81.58194803742622,35156,51243
21,110.57731419253906,35775,50624
22,84.14772212440973,31751,54648
23,64.60840897406251,37040,49359
24,45.13640022769097,34655,51744
25,93.59177651989148,37993,48406
26,56.776653879369576,38060,48339
27,129.95241239145628,23889,62510
28,75.88256143144748,36038,50361
29,95.32453859461373,39189,47210
30,56.98277496500651,39084,47315
31,71.07734360631294,33029,53370
32,114.60830280775065,29845,56554
33,64.81140972008572,15907,70492
34,118.63660259102193,36126,50273
35,62.62398287934137,19546,66853
36,80.60307093591472,34338,52061
37,79.55253861981227,40364,46035
38,116.99645688870625,31730,54669
39,76.50266015814346,46481,39918
40,81.07302051162627,31061,55338
41,73.93889460437283,38466,47933
42,72.83619773434353,36098,50301
43,74.68227438926866,36899,49500
44,76.64523095626302,32044,54355
45,71.0122911328277,37321,49078
46,76.71205463375978,33501,52898
47,75.05058908290364,39490,46909
48,75.1907501805523,34051,52348
49,72.2541323606315,37680,48719
50,73.09126055122938,38073,48326
51,79.65044635461481,33581,52818
52,92.71560228181966,27372,59027
53,110.09590202105966,24843,61556
54,67.67312455620225,18960,67439
55,79.96115680115017,13682,72717
56,76.24573309341146,38420,47979
57,107.04299626353408,30787,55612
58,73.36428487358397,26369,60030
59,77.69513421513562,28701,57698
60,64.76945504143339,34341,52058
61,80.77276805721462,38840,47559
62,47.96283931432834,37512,48887
63,84.73978296803818,38688,47711
64,57.094159222756076,26544,59855
65,74.4726115698394,34818,51581
66,74.08736424676215,39689,46710
67,71.96437093573348,38793,47606
68,80.70058289730468,42036,44363
69,70.04822081140625,31910,54489
70,76.6302657319618,42435,43964
71,38.785748581566835,34382,52017
72,72.89034048110244,39481,46918
73,67.77489832975694,38676,47723
74,64.40782534504774,31969,54430
75,71.82965155394965,38448,47951
76,79.93270966005642,29464,56935
